File,STT_Source,LLM_Source,STT_Text,Intent,Response,STT_Latency,LLM_Latency,E2E_Latency,RTF,CPU_utilization_avg,GPU_compute_utilization,RAM_Used_Avg_MB,Net_Sent_KB,Net_Recv_KB,Selected_Path,Action_Command,STT_Net_Sent_KB,STT_Net_Recv_KB,LLM_Net_Sent_KB,LLM_Net_Recv_KB,RAM_Used_Peak_MB
EC_0179-5235-04-04-PSJ-F-04-A.wav,Cloud (Late),Cloud (Quality),지금 참은 전체 다 닫아줘.,control,모든 창문을 닫습니다.,2.876,0.651,3.568,1.293,28.8,49.5,10982.2,266.43,10.76,STT[Cloud (Late)] -> LLM[Cloud (Quality)],창문 닫기(모두 닫기),263.901,10.656,2.596,1.652,11238
EC_0179-5236-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자율주행할 때 시속 몇 킬로미터로 달리는 거야?,chat,일반적으로 60~100km/h로 주행해요.,0.846,0.787,1.664,0.42,17.5,98.5,11679.0,378.49,5.93,STT[Cloud] -> LLM[Cloud (Quality)],N/A,375.935,5.778,2.624,1.628,11831
EC_0179-5237-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),차를 갓길에 세우도록 해줘.,control,안전한 갓길에 정차합니다.,0.748,1.258,2.04,0.81,13.6,99.0,11931.5,242.95,7.07,STT[Cloud] -> LLM[Cloud (Quality)],차량 정차(갓길),240.419,6.913,2.598,1.647,11932
EC_0179-5238-04-04-PSJ-F-04-A.wav,Cloud (Late),Cloud (Quality),여기서 뭐하는거 같은데 시통석 창문좀 내려봐,control,시통석 창문을 내립니다.,2.553,1.018,3.603,0.823,9.9,94.0,11964.5,417.85,9.08,STT[Cloud (Late)] -> LLM[Cloud (Quality)],창문 내리기(시통석),415.288,8.927,2.622,1.645,11974
EC_0179-5239-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),주행속도 스쿨존에 맞춰줘,control,스쿨존 속도로 조정합니다.,0.895,0.934,1.876,0.665,20.5,95.5,11974.0,274.98,14.6,STT[Cloud] -> LLM[Cloud (Quality)],set_speed(스쿨존 제한 속도),272.451,14.499,2.596,1.653,11974
EC_0179-5329-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),경찰차 급제보여 비켜주자,control,경찰차에 양보합니다. 안전 운전하세요.,1.613,1.0,2.649,1.027,9.5,65.7,11995.7,248.63,5.8,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(경찰차 양보),245.937,5.541,2.754,1.774,12000
EC_0179-5330-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞길을 향해 차 운행이중,chat,안전 운전하세요!,0.74,0.82,1.593,0.618,19.5,49.5,11999.0,248.53,5.74,STT[Cloud] -> LLM[Cloud (Quality)],N/A,246.001,5.64,2.594,1.609,11999
EC_0179-5331-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),사선이동 왼쪽으로,control,왼쪽 차선으로 이동합니다.,1.159,1.184,2.381,0.863,16.6,63.3,11999.0,272.62,5.63,STT[Cloud] -> LLM[Cloud (Quality)],lane_change(left),270.062,5.385,2.627,1.747,11999
EC_0179-5332-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),자동으로 내 보험의사에 알려줘,control,보험사에 자동 알림을 설정합니다.,1.039,0.909,1.981,0.66,16.7,97.0,11999.0,288.21,5.04,STT[Cloud] -> LLM[Cloud (Quality)],notify_insurance(자동 알림 요청),285.677,4.889,2.603,1.679,11999
EC_0179-5333-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),도로 제한속도 넘지 말고 운전해,control,안전 운전하세요. 제한속도를 지킵니다.,1.642,1.034,2.711,0.904,15.2,66.0,12000.7,288.15,6.46,STT[Cloud] -> LLM[Cloud (Quality)],속도 유지(제한속도 준수),285.612,6.31,2.604,1.678,12001
EC_0179-5334-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),뒤의 경찰차가 바이키를 열어주자.,control,경찰차에 길을 양보합니다.,1.49,0.847,2.37,0.859,10.0,65.3,12002.3,265.63,6.52,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(경찰차 양보),263.091,6.366,2.606,1.656,12003
EC_0179-5335-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞차 빨리 추월해버려,control,안전한 거리에서 추월하세요.,1.117,0.907,2.073,0.886,15.9,95.0,12004.0,223.52,5.85,STT[Cloud] -> LLM[Cloud (Quality)],추월(안전한 거리 확보 후),223.522,5.849,2.59,1.709,12004
EC_0179-5336-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞차정도는 따라갈 수 있지?,control,안전한 거리 유지하며 따라갑니다.,0.984,0.813,1.812,0.736,9.7,95.0,12004.0,237.39,6.3,STT[Cloud] -> LLM[Cloud (Quality)],차간 거리 유지(안전 거리 확보),234.858,6.099,2.598,1.717,12004
EC_0179-5337-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),옆에 갓길에 차 좀 붙여봐봐.,control,안전하게 갓길에 정차합니다.,1.505,0.812,2.348,0.91,15.3,65.3,12023.0,248.73,6.0,STT[Cloud] -> LLM[Cloud (Quality)],pull_over(갓길),246.194,5.896,2.599,1.652,12023
EC_0179-5338-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),앞차 답답하니까 차선 변경해줍니다.,control,차선 변경합니다. 안전 운전하세요.,0.956,1.122,2.117,0.598,16.7,99.0,12023.0,338.98,7.7,STT[Cloud] -> LLM[Cloud (Quality)],차선 변경(앞차 느림),336.431,7.599,2.609,1.665,12023
EC_0179-5339-04-04-PSJ-F-04-A.wav,OnDevice (Timeout),Cloud (Quality),앞차보다 빨리 가야겠으니 수월해줘,control,안전이 최우선입니다. 속도를 조절하세요.,1.992,1.307,3.354,1.141,12.4,73.5,12026.0,283.86,7.85,STT[OnDevice (Timeout)] -> LLM[Cloud (Quality)],속도 조절(안전 속도 유지),279.987,3.25,3.935,6.605,12027
EC_0179-5340-04-04-PSJ-F-04-A.wav,Cloud,Cloud (Quality),지금 내 창문 다 닫아줬어,control,모든 창문을 닫았습니다.,1.773,1.113,2.923,1.249,12.9,62.3,12028.3,225.99,4.22,STT[Cloud] -> LLM[Cloud (Quality)],close_windows(all),223.458,4.065,2.595,1.648,12029
